person.name,CountOfMovie
Emil Eifrem,1
Hugo Weaving,5
Laurence Fishburne,3
Carrie-Anne Moss,3
Keanu Reeves,7
Al Pacino,1
Charlize Theron,2
James Marshall,1
Kevin Pollak,1
J.T. Walsh,2
Aaron Sorkin,1
Cuba Gooding Jr.,4
Christopher Guest,1
Noah Wyle,1
Kiefer Sutherland,2
Kevin Bacon,3
Demi Moore,1
Jack Nicholson,5
Tom Cruise,3
Val Kilmer,1
Meg Ryan,5
Tom Skerritt,1
Kelly McGillis,1
Anthony Edwards,1
Jerry O'Connell,2
Bonnie Hunt,2
Jay Mohr,1
Jonathan Lipnicki,1
Renee Zellweger,1
Kelly Preston,1
Regina King,1
River Phoenix,1
Marshall Bell,2
Wil Wheaton,1
John Cusack,1
Corey Feldman,1
Helen Hunt,3
Greg Kinnear,2
Robin Williams,3
Max von Sydow,2
Werner Herzog,1
Annabella Sciorra,1
Ethan Hawke,1
Rick Yune,2
James Cromwell,2
Tom Hanks,12
Parker Posey,1
Steve Zahn,2
Dave Chappelle,1
Victor Garber,1
Bill Pullman,1
Rita Wilson,1
Rosie O'Donnell,2
Nathan Lane,2
Carrie Fisher,1
Billy Crystal,1
Bruno Kirby,1
Liv Tyler,1
Brooke Langton,1
Orlando Jones,1
Gene Hackman,3
Zach Grenier,2
Christian Bale,1
Clint Eastwood,1
Richard Harris,1
Ice-T,1
Dina Meyer,1
Takeshi Kitano,1
Jim Broadbent,1
Halle Berry,1
Audrey Tautou,1
Ian McKellen,1
Paul Bettany,1
Ben Miles,3
Natalie Portman,1
John Hurt,1
Stephen Rea,1
Susan Sarandon,1
John Goodman,1
Christina Ricci,1
Matthew Fox,1
Rain,2
Emile Hirsch,1
Naomie Harris,1
Patricia Clarkson,1
Sam Rockwell,2
Gary Sinise,2
David Morse,1
Michael Clarke Duncan,1
Oliver Platt,2
Frank Langella,1
Michael Sheen,1
Danny DeVito,2
John C. Reilly,1
Ed Harris,1
Bill Paxton,3
Philip Seymour Hoffman,2
Diane Keaton,1
Julia Roberts,1
Lori Petty,1
Geena Davis,1
Madonna,1
